Family	Genus Species	Best assembly on Globus	Location Collected (Country)	Sex	Comment	
Myzopodidae	Myzopoda aurita	mMyzAur1.1.pri	Madagascar	female 		
Emballonuridae	Rhynchonycteris naso	mRhyNas1.2.hap1	Panama	male		
Emballonuridae	Saccopteryx bilineata	mSacBil1.1.pri	Suriname	male		
Emballonuridae	Saccopteryx leptura	mSacLep1.1.pri	Panama	male		
Emballonuridae	Taphozous melanopogon	mTapMel1.1.pri	China	unknown		
Nycteridae	Nycteris thebaica	mNycThe1.1.hap1	Oman	male		
Furipteridae	Furipterus horrens	mFurHor1.1.pri	Suriname	male		
Mormoopidae	Mormoops megalophylla	mMorMeg1.1.pri	Curacao	male		
Mystacinidae	Mystacina tuberculata	mMysTub1.2.pri	New Zealand	male		
Noctilionidae	Noctilio leporinus	mNocLep2.1.pri	Saint Kitts and Nevis	male		
Phyllostomidae	Artibeus intermedius	mArtIn1.1.hap1	Belize	male		
Phyllostomidae	Artibeus lituratus	mArtLit1.1.hap1	Belize	male		
Phyllostomidae	Brachyphylla cavernarum	mBraCav1.1.hap1	Saint Kitts and Nevis	male		
Phyllostomidae	Carollia perspicillata	mCarPer1.2.pri		male	captive	
Phyllostomidae	Centurio senex	mCenSen1.1.hap1	Belize	female 		
Phyllostomidae	Choeroniscus minor	mChoMin1.1.hap1	Guyana	male		
Phyllostomidae	Desmodus rotundus	mDesRot1.15.hap1	To be added 	To be added		
Phyllostomidae	Diaemus youngii	mDiaYou1.3.hap1	To be added 	To be added		
Phyllostomidae	Diphylla ecaudata	mDipEca1.2.hap1	Ecuador	male		
Phyllostomidae	Ectophylla alba	mEctAlb1.1.hap1	Belize	female 		
Phyllostomidae	Erophylla bombifrons	mEroBom1.1.hap1	Dominican Republic	male		
Phyllostomidae	Glossophaga mutica	mGloMut1.1.hap1	Belize	male		
Phyllostomidae	Glossophaga soricina	mGloSor1.2.pri	Panama	To be added		
Phyllostomidae	Glyphonycteris daviesi	mGlyDav1.1.hap1	Guyana	male		
Phyllostomidae	Leptonycteris yerbabuenae	mLepYer2.1.hap1	Mexico	To be added	captive, but originates from Mexico	
Phyllostomidae	Lionycteris spurrelli	mLioSpu1.1.hap1	Suriname	male		
