family	scientificName	associatedSequences	associatedSequenceIds	countryName	sex	comment
Myzopodidae	Myzopoda aurita	mMyzAur1.1.pri	hash://md5/d9ec2eec04ac1d0b65b9764a935889a4	Madagascar	female 	
Emballonuridae	Rhynchonycteris naso	mRhyNas1.2.hap1	hash://md5/6fb135f08ae132757a26d937c94011e1	Panama	male	
Emballonuridae	Saccopteryx bilineata	mSacBil1.1.pri	hash://md5/efbdb4a8db3b3445bae4ddeccee0746b	Suriname	male	
Emballonuridae	Saccopteryx leptura	mSacLep1.1.pri	hash://md5/2c89ba972c613debb4a0d66fe86fb4e8	Panama	male	
Emballonuridae	Taphozous melanopogon	mTapMel1.1.pri	hash://md5/133b05b1b898145f8dbcec31860af466	China	unknown	
Nycteridae	Nycteris thebaica	mNycThe1.1.hap1	hash://md5/5f0fee7774646679fcae0721421ad5e9	Oman	male	
Furipteridae	Furipterus horrens	mFurHor1.1.pri	hash://md5/afdc46bdb6ac8d6f4757ef003a5a27cf	Suriname	male	
Mormoopidae	Mormoops megalophylla	mMorMeg1.1.pri	hash://md5/ced87723646fb6e1bea5b5283c535071	Curacao	male	
Mystacinidae	Mystacina tuberculata	mMysTub1.2.pri	hash://md5/8572b84ee28dc19b3589e9512802b306	New Zealand	male	
Noctilionidae	Noctilio leporinus	mNocLep2.1.pri	hash://md5/3e34996ecb28e78aa494869cc3512bab	Saint Kitts and Nevis	male	
Phyllostomidae	Artibeus intermedius	mArtIn1.1.hap1	hash://md5/7145283927125a42c6380dd819ceedf7	Belize	male	
Phyllostomidae	Artibeus lituratus	mArtLit1.1.hap1	hash://md5/c60737311de692e14335846687aad9e1	Belize	male	
Phyllostomidae	Brachyphylla cavernarum	mBraCav1.1.hap1	hash://md5/fb934eb9e359ec78855c5fb7200f5328	Saint Kitts and Nevis	male	
Phyllostomidae	Carollia perspicillata	mCarPer1.2.pri	hash://md5/c1eab90ed42091bd2147f7fc522c1984		male	captive
Phyllostomidae	Centurio senex	mCenSen1.1.hap1	hash://md5/6a8f0a2db4d8f21fe53cc84e751a1afd	Belize	female 	
Phyllostomidae	Choeroniscus minor	mChoMin1.1.hap1	hash://md5/d1ca83bc6dc815845e91507ffc18c6e8	Guyana	male	
Phyllostomidae	Desmodus rotundus	mDesRot1.15.hap1	hash://md5/da089cfdddaaea2dd722a5c10abe1911	To be added 	To be added	
Phyllostomidae	Diaemus youngii	mDiaYou1.3.hap1	hash://md5/5d3d33c270e3beeba063ea7fcf70f852	To be added 	To be added	
Phyllostomidae	Diphylla ecaudata	mDipEca1.2.hap1	hash://md5/93a0b764cfa4dc6d0e9276a605350abc	Ecuador	male	
Phyllostomidae	Ectophylla alba	mEctAlb1.1.hap1	hash://md5/f9269be297f81f5dae0466c453b0522a	Belize	female 	
Phyllostomidae	Erophylla bombifrons	mEroBom1.1.hap1	hash://md5/d9ed2b538717c197b07d16309dab821d	Dominican Republic	male	
Phyllostomidae	Glossophaga mutica	mGloMut1.1.hap1	hash://md5/f607aafd71bf37d4c70c2b7caeddd2cc	Belize	male	
Phyllostomidae	Glossophaga soricina	mGloSor1.2.pri	hash://md5/892714304672a5d4a37c7cb1d7a8fdb4	Panama	To be added	
Phyllostomidae	Glyphonycteris daviesi	mGlyDav1.1.hap1	hash://md5/c181cc78d810350788cf09192512b29d	Guyana	male	
